canon,Mt,Mk,Lk,Jn
6,44,126,0,0
6,77,63,0,0
6,100,98,0,0
6,139,45,0,0
6,145,60,0,0
6,148,65,0,0
6,152,68,0,0
6,154,71,0,0
6,157,72,0,0
6,159,73,0,0
6,160,76,0,0
6,163,78,0,0
6,165,80,0,0
6,169,84,0,0
6,173,89,0,0
6,180,100,0,0
6,189,103,0,0
6,202,113,0,0
6,214,120,0,0
6,215,124,0,0
6,224,131,0,0
6,246,140,0,0
6,247,142,0,0
6,250,145,0,0
6,252,147,0,0
6,254,149,0,0
6,260,152,0,0
6,263,153,0,0
6,275,157,0,0
6,282,164,0,0
6,286,167,0,0
6,288,169,0,0
6,290,171,0,0
6,292,173,0,0
6,298,179,0,0
6,305,185,0,0
6,309,190,0,0
6,311,192,0,0
6,330,208,0,0
6,337,217,0,0
6,341,221,0,0
6,347,226,0,0
6,350,229,0,0
7,5,0,0,83
7,19,0,0,19
7,19,0,0,32
7,19,0,0,34
7,120,0,0,82
7,185,0,0,215
7,207,0,0,101
8,0,12,23,0
8,0,14,25,0
8,0,16,27,0
8,0,17,28,0
8,0,28,27,0
8,0,48,84,0
8,0,56,89,0
8,0,61,91,0
8,0,75,100,0
8,0,97,103,0
8,0,136,247,0
8,0,216,277,0
8,0,230,335,0
9,0,0,30,219
9,0,0,30,222
9,0,0,262,113
9,0,0,262,124
9,0,0,274,227
9,0,0,274,229
9,0,0,274,231
9,0,0,303,182
9,0,0,303,186
9,0,0,303,190
9,0,0,307,182
9,0,0,307,186
9,0,0,307,190
9,0,0,312,182
9,0,0,312,186
9,0,0,312,190
9,0,0,340,213
9,0,0,340,217
9,0,0,341,221
9,0,0,341,223
9,0,0,341,225
10,2,0,0,0
10,4,0,0,0
10,6,0,0,0
10,13,0,0,0
10,24,0,0,0
10,26,0,0,0
10,29,0,0,0
10,33,0,0,0
10,35,0,0,0
10,37,0,0,0
10,39,0,0,0
10,42,0,0,0
10,45,0,0,0
10,52,0,0,0
10,56,0,0,0
10,75,0,0,0
10,81,0,0,0
10,89,0,0,0
10,91,0,0,0
10,99,0,0,0
10,101,0,0,0
10,106,0,0,0
10,109,0,0,0
10,113,0,0,0
10,115,0,0,0
10,118,0,0,0
10,124,0,0,0
10,126,0,0,0
10,136,0,0,0
10,140,0,0,0
10,151,0,0,0
10,155,0,0,0
10,167,0,0,0
10,171,0,0,0
10,177,0,0,0
10,181,0,0,0
10,184,0,0,0
10,186,0,0,0
10,188,0,0,0
10,191,0,0,0
10,196,0,0,0
10,200,0,0,0
10,210,0,0,0
10,212,0,0,0
10,218,0,0,0
10,222,0,0,0
10,227,0,0,0
10,230,0,0,0
10,233,0,0,0
10,235,0,0,0
10,239,0,0,0
10,245,0,0,0
10,268,0,0,0
10,273,0,0,0
10,283,0,0,0
10,303,0,0,0
10,319,0,0,0
10,324,0,0,0
10,327,0,0,0
10,345,0,0,0
10,351,0,0,0
10,355,0,0,0
11,0,19,0,0
11,0,31,0,0
11,0,43,0,0
11,0,46,0,0
11,0,58,0,0
11,0,62,0,0
11,0,70,0,0
11,0,74,0,0
11,0,81,0,0
11,0,88,0,0
11,0,90,0,0
11,0,92,0,0
11,0,94,0,0
11,0,101,0,0
11,0,104,0,0
11,0,123,0,0
11,0,132,0,0
11,0,186,0,0
11,0,213,0,0
12,0,0,1,0
12,0,0,3,0
12,0,0,5,0
12,0,0,9,0
12,0,0,18,0
12,0,0,20,0
12,0,0,22,0
12,0,0,29,0
12,0,0,31,0
12,0,0,50,0
12,0,0,51,0
12,0,0,67,0
12,0,0,68,0
12,0,0,72,0
12,0,0,75,0
12,0,0,104,0
12,0,0,106,0
12,0,0,107,0
12,0,0,113,0
12,0,0,117,0
12,0,0,122,0
12,0,0,124,0
12,0,0,131,0
12,0,0,143,0
12,0,0,149,0
12,0,0,151,0
12,0,0,154,0
12,0,0,159,0
12,0,0,163,0
12,0,0,164,0
12,0,0,166,0
12,0,0,174,0
12,0,0,176,0
12,0,0,178,0
12,0,0,180,0
12,0,0,183,0
12,0,0,188,0
12,0,0,190,0
12,0,0,192,0
12,0,0,196,0
12,0,0,201,0
12,0,0,203,0
12,0,0,208,0
12,0,0,210,0
12,0,0,214,0
12,0,0,223,0
12,0,0,225,0
12,0,0,227,0
12,0,0,236,0
12,0,0,252,0
12,0,0,256,0
12,0,0,259,0
12,0,0,264,0
12,0,0,271,0
12,0,0,273,0
12,0,0,276,0
12,0,0,278,0
12,0,0,283,0
12,0,0,288,0
12,0,0,296,0
12,0,0,298,0
12,0,0,301,0
12,0,0,304,0
12,0,0,306,0
12,0,0,308,0
12,0,0,316,0
12,0,0,320,0
12,0,0,326,0
12,0,0,331,0
12,0,0,334,0
12,0,0,339,0
12,0,0,342,0
13,0,0,0,4
13,0,0,0,7
13,0,0,0,9
13,0,0,0,11
13,0,0,0,13
13,0,0,0,16
13,0,0,0,18
13,0,0,0,22
13,0,0,0,24
13,0,0,0,27
13,0,0,0,29
13,0,0,0,31
13,0,0,0,33
13,0,0,0,36
13,0,0,0,39
13,0,0,0,41
13,0,0,0,43
13,0,0,0,45
13,0,0,0,50
13,0,0,0,52
13,0,0,0,54
13,0,0,0,56
13,0,0,0,58
13,0,0,0,60
13,0,0,0,62
13,0,0,0,64
13,0,0,0,66
13,0,0,0,68
13,0,0,0,71
13,0,0,0,73
13,0,0,0,75
13,0,0,0,78
13,0,0,0,80
13,0,0,0,81
13,0,0,0,84
13,0,0,0,86
13,0,0,0,89
13,0,0,0,92
13,0,0,0,94
13,0,0,0,97
13,0,0,0,99
13,0,0,0,102
13,0,0,0,104
13,0,0,0,106
13,0,0,0,108
13,0,0,0,110
13,0,0,0,112
13,0,0,0,115
13,0,0,0,117
13,0,0,0,119
13,0,0,0,123
13,0,0,0,125
13,0,0,0,127
13,0,0,0,130
13,0,0,0,132
13,0,0,0,134
13,0,0,0,136
13,0,0,0,138
13,0,0,0,140
13,0,0,0,143
13,0,0,0,145
13,0,0,0,147
13,0,0,0,149
13,0,0,0,151
13,0,0,0,153
13,0,0,0,155
13,0,0,0,157
13,0,0,0,159
13,0,0,0,163
13,0,0,0,165
13,0,0,0,167
13,0,0,0,169
13,0,0,0,171
13,0,0,0,173
13,0,0,0,177
13,0,0,0,179
13,0,0,0,181
13,0,0,0,189
13,0,0,0,191
13,0,0,0,193
13,0,0,0,195
13,0,0,0,200
13,0,0,0,202
13,0,0,0,205
13,0,0,0,207
13,0,0,0,210
13,0,0,0,212
13,0,0,0,214
13,0,0,0,216
13,0,0,0,218
13,0,0,0,220
13,0,0,0,224
13,0,0,0,226
13,0,0,0,228
13,0,0,0,230
13,0,0,0,232
